Species	Symbol	Ensembl	Family	Protein	Entrez ID
Mus_musculus	Zfp146	ENSMUSG00000037029	zf-C2H2	ENSMUSP00000058588;	26465
Mus_musculus	Ets1	ENSMUSG00000032035	ETS	ENSMUSP00000051303;ENSMUSP00000139107;ENSMUSP00000034534;	23871
Mus_musculus	Mxd3	ENSMUSG00000021485	bHLH	ENSMUSP00000021941;	17121
Mus_musculus	Rhox6	ENSMUSG00000097200	Homeobox	ENSMUSP00000138055;	-
Mus_musculus	Zfp82	ENSMUSG00000098022	zf-C2H2	ENSMUSP00000079647;ENSMUSP00000138217;	330502
Mus_musculus	Lef1	ENSMUSG00000027985	HMG	ENSMUSP00000067808;ENSMUSP00000101948;ENSMUSP00000029611;ENSMUSP00000096211;	16842
Mus_musculus	Hoxa5	ENSMUSG00000038253	Homeobox	ENSMUSP00000039012;	15402
Mus_musculus	Ahr	ENSMUSG00000019256	bHLH	ENSMUSP00000106434;ENSMUSP00000112137;	11622
Mus_musculus	Gmeb1	ENSMUSG00000028901	SAND	ENSMUSP00000101585;ENSMUSP00000030733;ENSMUSP00000101584;ENSMUSP00000131331;	56809
Mus_musculus	E2f5	ENSMUSG00000027552	E2F	ENSMUSP00000029069;ENSMUSP00000127877;	13559
Mus_musculus	Hoxb5	ENSMUSG00000038700	Homeobox	ENSMUSP00000035423;	15413
Mus_musculus	Nr0b1	ENSMUSG00000025056	Miscellaneous	ENSMUSP00000026036;	11614
Mus_musculus	Elf2	ENSMUSG00000037174	ETS	ENSMUSP00000141197;ENSMUSP00000126871;ENSMUSP00000103688;ENSMUSP00000061076;ENSMUSP00000103686;ENSMUSP00000088678;	69257
Mus_musculus	Rest	ENSMUSG00000029249	zf-C2H2	ENSMUSP00000079231;ENSMUSP00000109076;	19712
Mus_musculus	Zfp644	ENSMUSG00000049606	zf-C2H2	ENSMUSP00000122421;	52397
Mus_musculus	Sox6	ENSMUSG00000051910	HMG	ENSMUSP00000129512;ENSMUSP00000129027;ENSMUSP00000145931;ENSMUSP00000072583;ENSMUSP00000145732;ENSMUSP00000102223;ENSMUSP00000126404;ENSMUSP00000145919;	20679
Mus_musculus	Gm5294	ENSMUSG00000094504	Fork_head	ENSMUSP00000137099;	384244
Mus_musculus	Nfix	ENSMUSG00000001911	CTF/NFI	ENSMUSP00000076005;ENSMUSP00000105386;ENSMUSP00000105384;ENSMUSP00000096669;ENSMUSP00000115691;	18032
Mus_musculus	Tcf7	ENSMUSG00000000782	HMG	ENSMUSP00000104699;ENSMUSP00000084055;	21414
Mus_musculus	Zbtb22	ENSMUSG00000051390	ZBTB	ENSMUSP00000057466;ENSMUSP00000057466;	81630
Mus_musculus	Hoxd8	ENSMUSG00000027102	Homeobox	ENSMUSP00000118904;ENSMUSP00000088094;ENSMUSP00000019749;	15437
Mus_musculus	Tbx22	ENSMUSG00000031241	T-box	ENSMUSP00000063611;ENSMUSP00000128247;ENSMUSP00000127321;ENSMUSP00000112544;	245572
Mus_musculus	Zfp870	ENSMUSG00000095325	zf-C2H2	ENSMUSP00000136197;ENSMUSP00000154207;	240066
Mus_musculus	Zfp872	ENSMUSG00000074472	zf-C2H2	ENSMUSP00000136074;ENSMUSP00000089089;ENSMUSP00000149642;	619310
Mus_musculus	Gm4981	ENSMUSG00000075045	Homeobox	ENSMUSP00000097314;	245263
Mus_musculus	Insm2	ENSMUSG00000045440	zf-C2H2	ENSMUSP00000061046;	56856
Mus_musculus	Msx3	ENSMUSG00000025469	Homeobox	ENSMUSP00000133484;	17703
Mus_musculus	Nfe2l3	ENSMUSG00000029832	TF_bZIP	ENSMUSP00000005103;	18025
Mus_musculus	Gm28168	ENSMUSG00000101415	zf-C2H2	ENSMUSP00000139435;	-
Mus_musculus	Rfx4	ENSMUSG00000020037	RFX	ENSMUSP00000051107;	71137
